专家	zhuan1jia1	NOUN:expert
批	pi1	MEAS:batch/lot
真实	zhen1shi2	ADJ:true/real
认真	ren4zhen1	ADJ:earnest/serious
需	xu1	VERB:need/want
整体	zheng3ti3	NOUN:whole/entirety
图书	tu2shu1	NOUN:books
型	#2:xing2	NOUN:model/(blood)-type
义务	yi4wu4	NOUN:duty/obligation
馆	guan3	NOUN:house/shop
处于	chu3yu2	VERB:be-(in-a-certain-condition)
明	#2:ming2	ADJ:bright/next
价	jia4	NOUN:price/value
后来	hou4lai2	ADV:afterwards/later
电视	dian4shi4	NOUN:television
供应	gong1ying4	NOUN:supply
涉及	she4ji2	VERB:involve/touch-upon
职能	zhi2neng2	NOUN:function
教	#2:jiao4	NOUN:teaching/religion
承担	cheng2dan1	VERB:undertake/assume
破坏	po4huai4	VERB:destroy
贯彻	guan4che4	VERB:carry-out/implement
和平	he2ping2	NOUN:peace
医疗	yi1liao2	NOUN:medical-treatment
门	men2	NOUN:door/gate
推进	tui1jin4	VERB:move-forward/drive-ahead
款	kuan3	NOUN:sum-of-money/fund
类型	lei4xing2	NOUN:type/category
放	fang4	VERB:put/place
持续	chi2xu4	VERB:continue/sustain
欧洲	Ou1zhou1	NOUN:Europe
运行	yun4xing2	NOUN:motion
每年	mei3nian2	ADV:every-year/once-a-year
肯定	ken3ding4	VERB:affirm/confirm
转变	zhuan3bian4	VERB:change/transform
拥有	yong1you3	VERB:possess/have
良好	liang2hao3	#2:ADJ:good
下来	xia4lai2	VERB:come-down
难以	nan2yi3	ADV:difficult-to
财产	cai2chan3	#3:NOUN:property
健康	jian4kang1	NOUN:health/physique
那样	na4yang4	ADV:like-that/that-kind-of
决	jue2	ADV:definitely-(won't)
容易	rong2yi4	ADV:easy/likely
校	xiao4	NOUN:school/field-officer
最高	zui4gao1	ADJ:highest/supreme
主张	zhu3zhang1	VERB:hold/advocate
法规	fa3gui1	NOUN:laws-and-regulations/rules
军队	jun1dui4	NOUN:armed-forces/troops
结束	jie2shu4	VERB:end/conclude
真	zhen1	ADV:really/truly
正常	zheng4chang2	ADJ:normal/regular
承认	cheng2ren4	VERB:acknowledge/recognize
朋友	peng2you5	NOUN:friend
追求	zhui1qiu4	VERB:seek/woo
太	tai4	ADV:too/very
之前	zhi1qian2	PRT:-prior-to/-ago
显	xian3	ADJ:obvious/noticeable
深刻	shen1ke4	ADJ:deep/profound
思维	si1wei2	NOUN:thought/thinking
